Oracion original,label original,Puntaje Positivo,Puntaje Negativo,El resultado de la inferencia,Tiempo de fuzzificacion,Tiempo de desfuzzificacion,tiempo de ejecucion
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,Neutral,0.382,0.0,0.4743067053518121,0.0,0.00200605,0.00200605
reading my kindle love it lee childs is good read,Positiva,0.47,0.0,0.6121258407190895,0.0,0.00100613,0.00100613
ok first assesment of the kindle it fucking rocks,Neutral,0.216,0.0,0.27136998028182546,0.0,0.00199914,0.00199914
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,Neutral,0.204,0.135,0.25800628839549145,0.0,0.04310584,0.04310584
fair enough but i have the kindle and i think it s perfect,Positiva,0.456,0.0,0.5891372965322006,0.0,0.0009501,0.0009501
no it is too big i m quite happy with the kindle,Neutral,0.281,0.155,0.3443877189927482,0.00099945,0.0009985,0.00199795
fuck this economy i hate aig and their non loan given asses,Neutral,0.0,0.444,1.9325203674725225e-16,0.0,0.0010016,0.0010016
jquery is my new best friend,Positiva,0.649,0.0,0.6438613251155623,0.00099826,0.00099802,0.00199628
loves twitter,Positiva,0.787,0.0,0.6242459093034124,0.0,0.0010016,0.0010016
how can you not love obama he makes jokes about himself,Neutral,0.139,0.234,0.20656593878434681,0.0,0.00199842,0.00199842
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,Neutral,0.127,0.182,0.1785200131755035,0.0,0.00100088,0.00100088
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.00151968,0.00151968
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,Neutral,0.337,0.0,0.4129619064973852,0.0,0.00100207,0.00100207
dear nike stop with the flywire that shit is a waste of science and ugly love,Neutral,0.245,0.43,0.12477160010441128,0.0,0.00100279,0.00100279
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,Neutral,0.224,0.0,0.28025658977924817,0.0,0.00199604,0.00199604
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,Neutral,0.067,0.238,0.11593239678085414,0.0,0.0011003,0.0011003
i love lebron,Positiva,0.808,0.0,0.6311522157996144,0.0,0.00200295,0.00200295
lebron is a beast but i m still cheering the a til the end,Neutral,0.331,0.0,0.405181114357783,0.0,0.0,0.0
lebron is the boss,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,Positiva,0.488,0.0,0.6438761025128971,0.0,0.00100946,0.00100946
lebron and zydrunas are such an awesome duo,Neutral,0.369,0.0,0.4559005539684265,0.0,0.00110126,0.00110126
lebron is a beast nobody in the nba comes even close,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
downloading apps for my iphone so much fun there literally is an app for just about anything,Neutral,0.183,0.0,0.2340678430697187,0.0,0.00101185,0.00101185
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,Neutral,0.225,0.312,0.2735563492312864,0.0,0.00172472,0.00172472
awesome come back from via,Positiva,0.506,0.0,0.6666192358366267,0.00096083,0.0009923,0.00195312
in montreal for a long weekend of r amp r much needed,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,Positiva,0.422,0.0,0.5338968038505467,0.0,0.00099993,0.00099993
mluc customer innovation award winner booz allen hamilton,Positiva,0.664,0.0,0.6396626506024095,0.0,0.00100803,0.00100803
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,Neutral,0.101,0.121,0.13838632711244886,0.0,0.00160217,0.00160217
google is always a good place to look should ve mentioned i worked on the mustang w my dad,Neutral,0.162,0.0,0.2097189172886977,0.0,0.00254989,0.00254989
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,Neutral,0.085,0.238,0.14101410765800643,0.0,0.00306106,0.00306106
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,Neutral,0.0,0.098,4.0241828417960333e-17,0.0,0.0009973,0.0009973
omg so bored amp my tattoooos are so itchy help aha,Neutral,0.185,0.319,0.2913985983372227,0.0,0.00100207,0.00100207
i m itchy and miserable,Negativa,0.0,0.841,-0.6410915528578655,0.0,0.00161052,0.00161052
no i m not itchy for now maybe later lol,Neutral,0.391,0.186,0.38368874933048736,0.0,0.00201082,0.00201082
rt i love the nerdy stanford human biology videos makes me miss school,Neutral,0.263,0.175,0.3238263342317519,0.0,0.00100541,0.00100541
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,Neutral,0.145,0.178,0.19684410453697135,0.0,0.00199604,0.00199604
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,Neutral,0.245,0.0,0.30361521620142284,0.0,0.00099921,0.00099921
is going to sleep then on a bike ride,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
cant sleep my tooth is aching,Neutral,0.0,0.39,1.0767452831820629e-16,0.0,0.00199866,0.00199866
blah blah blah same old same old no plans today going back to sleep i guess,Neutral,0.0,0.368,8.443281825481768e-17,0.0,0.0010972,0.0010972
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,Neutral,0.146,0.32,0.2578877205079583,0.00099874,0.00060844,0.00160718
obama administration must stop bonuses to aig ponzi schemers,Neutral,0.281,0.172,0.3443877189927482,0.0,0.00188589,0.00188589
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,Neutral,0.0,0.098,4.0241828417960333e-17,0.0,0.0,0.0
shaunwoo hate n on aig,Negativa,0.0,0.552,-0.5255246132208157,0.0,0.00100303,0.00100303
you will not regret going to see star trek it was awesome,Neutral,0.391,0.0,0.4875082095997312,0.0,0.00090289,0.00090289
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,Neutral,0.0,0.13,4.1501392468313995e-17,0.00109673,0.00099802,0.00209475
highly recommend by malcolm gladwell,Positiva,0.411,0.0,0.5172097134225866,0.0,0.00100231,0.00100231
blink by malcolm gladwell amazing book and the tipping point,Neutral,0.297,0.0,0.3631008887356235,0.0,0.00167155,0.00167155
malcolm gladwell might be my new man crush,Neutral,0.0,0.186,3.685749154327304e-17,0.0,0.00194716,0.00194716
omg the commercials alone on espn are going to drive me nuts,Neutral,0.0,0.301,4.43659581954641e-17,0.0,0.00100279,0.00100279
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,Neutral,0.362,0.0,0.44628115233135623,0.0,0.00199556,0.00199556
hello twitter api,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
because the twitter api is slow and most client s aren t good,Neutral,0.24,0.0,0.29804062126642755,0.0,0.00100064,0.00100064
yahoo answers can be a butt sometimes,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
is scrapbooking with nic d,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
rt five things wolfram alpha does better and vastly different than google,Neutral,0.209,0.0,0.26358191964330563,0.0,0.00199914,0.00199914
just changed my default pic to a nike basketball cause bball is awesome,Neutral,0.272,0.0,0.334052529897335,0.0,0.00100088,0.00100088
rt was just told that nike layoffs started today,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
back when i worked for nike we had one fav word just do it,Neutral,0.2,0.0,0.25353535353535334,0.0,0.00150347,0.00150347
by the way i m totally inspired by this freaky nike commercial,Neutral,0.25,0.179,0.30920398009950223,0.0,0.00101089,0.00101089
class the d is supposed to come today,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
needs someone to explain lambda calculus to him,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,Neutral,0.1,0.142,0.13984655497666476,0.0,0.00210285,0.00210285
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,Neutral,0.197,0.092,0.2501226632486107,0.0,0.0010066,0.0010066
